Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
100,W7ACS,442.875,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 442.875,,,,
101,W7ACS,443.025,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 443.025,,,,
102,W7ACS,443.200,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 443.200,,,,
103,W7ACS,443.475,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 443.475,,,,
104,W7ACS,443.650,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 443.650,,,,
105,W7ACS,444.550,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,W7ACS - 444.550,,,,
106,KK7DFL,145.275,-,0.600000,Tone,100,88.5,023,NN,NFM,5.00,,KK7DFL - 145.275,,,,
107,W7DK,145.210,-,0.600000,Tone,141.3,88.5,023,NN,FM,5.00,,W7DK - 145.210,,,,
108,W7DK,147.280,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7DK - 147.280,,,,
109,W7DK,147.380,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,W7DK - 147.380,,,,
110,W7DK,440.625,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7DK - 440.625,,,,
111,W7FLY,443.925,+,5.000000,Tone,100,88.5,023,NN,FM,5.00,,W7FLY - 443.925,,,,
112,WA7ST,443.100,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,WA7ST - 443.100,,,,
113,NC7G,146.660,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,NC7G - 146.660,,,,
114,W7BUR,441.125,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7BUR - 441.125,,,,
115,WA7DES,443.700,+,5.000000,Tone,123,88.5,023,NN,FM,5.00,,WA7DES - 443.700,,,,
116,N7MHE,146.70,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,N7MHE - 146.70,,,,
117,W7NPC,444.475,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,W7NPC - 444.475,,,,
118,WA6PMX,224.420,-,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,WA6PMX - 224.420,,,,
119,WA6PMX,442.200,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,WA6PMX - 442.200,,,,
120,KB7ARA,147.280,+,0.600000,,67.0,88.5,023,NN,FM,5.00,,KB7ARA - 147.280,,,,
121,KA7FVV,147.320,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,KA7FVV - 147.320,,,,
122,N7WRR,147.360,+,0.600000,,67.0,88.5,023,NN,FM,5.00,,N7WRR - 147.360,,,,
123,N7WRQ,147.380,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,N7WRQ - 147.380,,,,
124,N7OEP,440.075,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,N7OEP - 440.075,,,,
125,N7OEP,443.175,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,N7OEP - 443.175,,,,
126,N7OEP,53.330,-,1.700000,Tone,100,88.5,023,NN,FM,5.00,,N7OEP - 53.330,,,,
127,KB7APU,145.250,-,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,,KB7APU - 145.250,,,,
128,N7KN,441.425,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,N7KN - 441.425,,,,
129,N7YRC,442.725,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,N7YRC - 442.725,,,,
130,N7YRC,444.750,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,N7YRC - 444.750,,,,
131,N7YRC,53.930,-,1.700000,,67.0,88.5,023,NN,FM,5.00,,N7YRC - 53.930,,,,
132,N3KPU,145.230,-,0.600000,Tone,146.2,88.5,023,NN,FM,5.00,,N3KPU - 145.230,,,,
133,KE7YYD,442.750,+,5.000000,Tone,100,88.5,023,NN,FM,5.00,,KE7YYD - 442.750,,,,
134,K7CST,147.320,+,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,K7CST - 147.320,,,,
135,WA7SAR,146.860,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,WA7SAR - 146.860,,,,
136,WA7SAR,147.080,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,WA7SAR - 147.080,,,,
137,WA7SAR,444.600,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,WA7SAR - 444.600,,,,
