No.,Scan List Name,Scan Channel Member,Scan Channel Member RX Frequency,Scan Channel Member TX Frequency
1,Metro,WW7PSR|WW7SEA|W7AW|W7AW|W7ACS|W7ACS|W7ACS|W7ACS|W7ACS|W7ACS|W7ACS|K7LWH|K7LWH|W7MIR|W7MIR|KC7Z,146.96|444.7|145.13|441.8|442.3|444.55|442.875|443.475|443.65|440.6|443.2|145.49|441.075|147.16|440.15|444.075,146.36|449.7|144.53|446.8|447.3|449.55|447.875|448.475|448.65|445.6|448.2|144.89|446.075|147.76|445.15|449.075
2,South,W7DK|W7DK|W7DK|W7DK|N7SK|N7SK,147.28|440.625|145.21|147.38|146.72|443.25,147.88|445.625|144.61|147.98|146.12|448.25
3,North,N7GDE|WW7RA|WW7RA|W7JCR|AA7MI,145.19|146.62|442.65|145.15|440.725,144.59|146.02|447.65|144.55|445.725
