"No.","Radio ID","Name","Call Type","Call Alert"
"1","9999","Audio Test","Group Call","None"
"2","333153","King County","Group Call","None"
"3","9998","Parrot","Group Call","None"
"4","31075","BayNet","Group Call","None"
"5","312488","BEARS 1","Group Call","None"
"6","312547","BEARS 2","Group Call","None"
"7","8801","Link 1","Group Call","None"
"8","8802","Link 2","Group Call","None"
"9","8803","Link 3","Group Call","None"
"10","8804","Link 4","Group Call","None"
"11","8805","Link 5","Group Call","None"
"12","8806","Link 6","Group Call","None"
"13","3181","Local 1","Group Call","None"
"14","3166","Local 2","Group Call","None"
"15","31771","PNW Rgnl 2","Group Call","None"
"16","31532","Puget Sound","Group Call","None"
"17","803153","Seattle 1","Group Call","None"
"18","813153","Seattle 2","Group Call","None"
"19","313","TAC 313","Group Call","None"
"20","3153","Washington 1","Group Call","None"
"21","103153","Washington 2","Group Call","None"
