Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Name	Operating Mode	Tx Power	AMS	Fusion	Half Dev	Tone Mode	CTCSS	DCS	DCS Polarity	RX DGID	TX DGID	User CTCSS	Skip	Step	Attenuator	S-Meter Squelch	Bell	Clock Shift	Simplex	Central Sound	North Sound	South Sound	Foothills	BANK 6	BANK 7	BANK 8	BANK 9	BANK10	BANK11	BANK12	BANK13	BANK14	BANK15	BANK16	BANK17	BANK18	BANK19	BANK20	BANK21	BANK22	BANK23	Comment	
301	146.96000	146.36000	600 kHz	Minus	WW7PSR (RR#1)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Capitol Hill, Seattle, WA (Puget Sound Repeater Group)	
302	52.87000	51.17000	1.70 MHz	Minus	WW7PSR (RR#2)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Seattle (Puget Sound Repeater Group)	
303	53.41000	51.71000	1.70 MHz	Minus	W7PFR (RR#3)	FM	High (5 W)	Off	Off	Off	Tone	100.0 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Eatonville (Gobblers Knob Repeater Group)	
304	443.97500	448.97500	5.00 MHz	Plus	W7PFR (RR#4)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Eatonville (Gobblers Knob Repeater Group)	
305	444.42500	449.42500	5.00 MHz	Plus	WW7SEA (RR#5)	FM	High (5 W)	Off	Off	Off	Tone	141.3 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Seattle (Barry K7PAL's repeater system)	
306	444.70000	449.70000	5.00 MHz	Plus	WW7SEA (RR#6)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Seattle (Barry K7PAL's repeater system)	
307	147.00000	146.40000	600 kHz	Minus	W7DX (RR#7)	FM	High (5 W)	Off	Off	Off	Tone	103.5 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Redmond (Western Washington DX Club)	
308	145.15000	144.55000	600 kHz	Minus	W7JCR (RR#8)	FM	High (5 W)	Off	Off	Off	Tone	114.8 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Port Townsend (Jefferson County Amateur Radio Club)	
309	440.72500	445.72500	5.00 MHz	Plus	AA7MI (RR#9)	FM	High (5 W)	Off	Off	Off	Tone	114.8 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Marrowstone Isl. (Marrowstone Island Amateur Radio Club)	
310	146.77500	146.17500	600 kHz	Minus	WA7DEM (RR#10)	FM	High (5 W)	Off	Off	On	Tone	156.7 Hz	023	RN-TN	00	00	1600 Hz	Off	Auto	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Lynnwood, WA (Snohomish County Auxiliary Communications Service)	
