Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	AMS	Name	Tone Mode	CTCSS	DCS	RX DGID	TX DGID	User CTCSS	Tx Power	Skip	Step	Clock Shift	Memory Group	Comment
379	224.94000	223.34000	1.60 MHz	Minus	FM	Off	K7SWI (RR#90)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Squaw Butte, ID (South West Idaho Amateur Radio Club)
380	444.37500	449.37500	5.00 MHz	Plus	FM	Off	K7SWI (RR#91)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Squaw Butte, ID (South West Idaho Amateur Radio Club)
381	146.74000	146.14000	600 kHz	Minus	FM	Off	N7UBO (RR#92)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Squaw Butte, ID (South West Idaho Amateur Radio Club)
382	146.92000	146.32000	600 kHz	Minus	FM	Off	KI7PWR (RR#93)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Hat Butte, ID (South West Idaho Amateur Radio Club)
383	442.00000	447.00000	5.00 MHz	Plus	FM	Off	NE7MC (RR#94)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Kenmore (Northshore Emergency Management Coalition)
384	145.17000	144.57000	600 kHz	Minus	FM	Off	NM7E (RR#95)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Belfair, WA (North Mason Amateur Radio Emergency Service Club)
385	224.26000	222.66000	1.60 MHz	Minus	FM	Off	NM7E (RR#96)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Belfair, WA (North Mason Amateur Radio Emergency Service Club)
386	440.52500	445.52500	5.00 MHz	Plus	FM	Off	W7ACS (RR#97)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Seattle (Seattle Auxiliary Commonications Service)
387	440.60000	445.60000	5.00 MHz	Plus	FM	Off	W7ACS (RR#98)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Lake Forest Park (Seattle Auxiliary Communications Service)
388	442.30000	447.30000	5.00 MHz	Plus	FM	Off	W7ACS (RR#99)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Seattle (Seattle Auxiliary Communications Service)
389	442.87500	447.87500	5.00 MHz	Plus	FM	Off	W7ACS (RR#100)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Seattle (Seattle Auxiliary Communications Service)
390	443.02500	448.02500	5.00 MHz	Plus	FM	Off	W7ACS (RR#101)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Seattle (Seattle Auxiliary Commonications Service)
391	443.20000	448.20000	5.00 MHz	Plus	FM	Off	W7ACS (RR#102)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	White Center (Seattle Auxiliary Communications Service)
392	443.47500	448.47500	5.00 MHz	Plus	FM	Off	W7ACS (RR#103)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Seattle (Seattle Auxiliary Communications Service)
393	443.65000	448.65000	5.00 MHz	Plus	FM	Off	W7ACS (RR#104)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	North Seattle (Seattle Auxiliary Communications Service)
394	444.55000	449.55000	5.00 MHz	Plus	FM	Off	W7ACS (RR#105)	Tone	141.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Seattle (Seattle Auxiliary Communications Service)
395	145.27500	144.67500	600 kHz	Minus	FM Narrow	Off	KK7DFL (RR#106)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Olympia (Carl K7CH's repeater system)
