Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	AMS	Name	Tone Mode	CTCSS	DCS	RX DGID	TX DGID	User CTCSS	Tx Power	Skip	Step	Clock Shift	Memory Group	Comment
330	442.95000	447.95000	5.00 MHz	Plus	FM	Off	WA7FW (RR#32)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Federal Way, WA (Federal Way Amateur Radio Club)
331	442.10000	447.10000	5.00 MHz	Plus	FM	Off	KC7EQO (RR#33)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Blyn, WA (Matt KC7EQO's repeater system)
332	146.62000	146.02000	600 kHz	Minus	FM	Off	KC7Z (RR#34)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Gold Mtn, WA (Kitsap County Amateur Radio Club)
333	442.65000	447.65000	5.00 MHz	Plus	FM Narrow	Off	KC7Z (RR#35)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Gold Mtn, WA (Kitsap County Amateur Radio Club)
334	444.07500	449.07500	5.00 MHz	Plus	FM Narrow	Off	KC7Z (RR#36)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Bremerton, WA (Kitsap County Amateur Radio Club)
335	145.33000	144.73000	600 kHz	Minus	FM	Off	K7NWS (RR#37)	Tone	179.9 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Tiger Mtn West, WA (Boeing Employees Amateur Radio Society)
336	224.34000	222.74000	1.60 MHz	Minus	FM	Off	K7NWS (RR#38)	Tone	110.9 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Tiger Mtn West, WA (Boeing Employees Amateur Radio Society)
337	442.07500	447.07500	5.00 MHz	Plus	FM	Off	K7NWS (RR#39)	Tone	110.9 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Tiger Mtn West, WA (Boeing Employees Amateur Radio Society)
338	443.32500	448.32500	5.00 MHz	Plus	FM	Off	N9VW (RR#44)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn. (Steve N9VW's repeater system)
339	147.10000	147.70000	600 kHz	Plus	FM	Off	KC7RAS (RR#45)	Tone	123.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Cougar Mtn, WA (Steve N9VW's repeater system)
340	147.36000	147.96000	600 kHz	Plus	FM	Off	W7PIG (RR#46)	Tone	127.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Camano Island, WA (Stanwood-Camano Amateur Radio Club)
341	223.88000	222.28000	1.60 MHz	Minus	FM	Off	W7PIG (RR#47)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Camano Island, WA (Stanwood-Camano Amateur Radio Club)
342	441.05000	446.05000	5.00 MHz	Plus	FM	Off	W7PIG (RR#48)	Tone	127.3 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Camano Island, WA (Stanwood-Camano Amateur Radio Club)
343	223.96000	222.36000	1.60 MHz	Minus	FM	Off	WA7TBP (RR#49)	Tone	123.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Carnation, WA (Tom WA7TBP's repeater system)
344	224.02000	222.42000	1.60 MHz	Minus	FM	Off	W7AUX (RR#50)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Shoreline, WA (Shoreline ACS)
345	440.30000	445.30000	5.00 MHz	Plus	FM	Off	W7AUX (RR#51)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Shoreline, WA (Shoreline ACS)
346	442.82500	447.82500	5.00 MHz	Plus	FM	Off	W7AUX (RR#52)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Shoreline, WA (Shoreline ACS)
347	444.45000	449.45000	5.00 MHz	Plus	FM	Off	K7CH (RR#54)	Tone	100.0 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Baw Faw Peak, WA (Carl K7CH's repeater system)
348	146.82000	146.22000	600 kHz	Minus	FM	Off	K7LED (RR#55)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Tiger Mtn East, WA (Mike & Key Amateur Radio Club)
349	224.12000	222.52000	1.60 MHz	Minus	FM	Off	K7LED (RR#56)	Tone	103.5 Hz	023	00	00	1500 Hz	High	Off	Auto	Off	Off	Tiger Mtn East, WA (Mike & Key Amateur Radio Club)
